dis2gr,Disciples 2 - Gallean's Return
dis2rote,Disciples 2 - Rise of the Elves
doom3,Doom 3
doom3roe,Doom 3 Resurrection of Evil
droom,Doyles Room.com
dshard,Dragonshard
dfall,Dreamfall
driv3r,Driv3r
d2000,Dune 2000
dkeeper2,Dungeon Keeper 2
dlords,Dungeon Lords
ds,Dungeon Siege
ds2,Dungeon Siege II
ds2bw,Dungeon Siege II Broken World
ds2b,Dungeon Siege II Demo
dsloa,Dungeon Siege Legends of Aranna
ddo,Dungeons & Dragons Online - Stormreach
hl2dys,Dystopia v1
e2160,Earth 2160
hlesf,Earth's Special Forces
elmat,El Matador
empbfd,Emperor - Battle for Dune
ee,Empire Earth
ee2,Empire Earth II
ee2aos,Empire Earth II Art of Supremacy
empirep,EmpirePoker.com
hl2emp,Empires
edmw,Empires Dawn of the Modern World
etm,Enter the Matrix
eragon,Eragon
efmi,Escape from Monkey Island
eve,Eve Online
evpoker,Everest Poker.com
eq,Everquest
eq2,EverQuest II
eq2beta,EverQuest II Beta
evilg,Evil Genius
fable,Fable - The Lost Chapters
fow,Faces of War
fahrenheit,Fahrenheit
falcon4,Falcon 4.0 Allied Force
fallout,Fallout
fallout2,Fallout 2
ft,Fallout Tactics
fc,Far Cry
fate,Fate
fearep,FEAR Extraction Point
fearepspd,FEAR Extraction Point SP Demo
fearmp,FEAR Multiplayer
fearmpd,FEAR Multiplayer Demo
fear,FEAR Single Player
feard,FEAR SP Demo
fifa07,FIFA 07
fifa2k3,FIFA 2003
fifam06,FIFA Manager 06
fifa06,FIFA Soccer 06
fifa2k5,FIFA Soccer 2005
ff7,Final Fantasy VII
ff8,Final Fantasy VIII
ff11o,Final Fantasy XI Online
hlfa,Firearms
firstbat,First Battalion
fo,Flatout
fo2,Flatout 2
msfs2k4,Flight Simulator 2004
flyff,Flyff
fm2005,Football Manager 2005
fm2006,Football Manager 2006
fm2007,Football Manager 2007
utfo,Frag Ops
winfcell,Freecell
ffighters,Freedom Fighters
ffvtr,Freedom Force vs The 3rd Reich
frlncr,Freelancer
fof,Frets on Fire
fsw2th,FSW Ten Hammers
fsw,Full Spectrum Warrior
ftpoker,Full Tilt Poker.com
gciv,Galactic Civilizations
gcivap,Galactic Civilizations - The Altarian Prophecy
gciv2,Galactic Civilizations II
gtycoon,Game Tycoon
gtap,GameTap
gcp,Gaming Club Poker
gland,Gangland
got,Gates of Troy
gampd,GetAmped
gr,Ghost Recon
graw,Ghost Recon Advanced Warfighter
grawd,Ghost Recon Advanced Warfighter Demo
giants,Giants: Citizen Kabuto
gotre,Glory of the Roman Empire
glq,GLQuake
hl2ge,Goldeneye: Source
goonzu,Goonzu Online
gore,Gore - Ultimate Soldier
gotcha,Gotcha!
goth2,Gothic II
goth3,Gothic III
gtavc,Grand Theft Auto - Vice City
gta2,Grand Theft Auto 2
gta3,Grand Theft Auto III
gtasa,Grand Theft Auto San Andreas
grimfan,Grim Fandango
gc2,Ground Control II
gtl,GT Legends
gtr,GTR
gtr2,GTR 2
gw,Guild Wars
gun,Gun
gb,GunBound World Champion
gunz,GunZ: The Duel
hl15,Half-Life 1.5
hl,Half-Life 1.6
hl2,Half-Life 2
hl2ctf,Half-Life 2 Capture the Flag
hl2e1,Half-Life 2 Episode One
hl2gmod,Half-Life 2 Garry's Mod
hl2sub,Half-Life 2 Substance
hl2dm,Half-Life 2: Deathmatch
hl2lc,Half-Life 2: Lost Coast
hlsbs,Half-Life Blue Shift (Steam)
hls,Half-Life Source
halo,Halo
haloce,Halo Custom Edition
winhearts,Hearts
hoi2,Hearts of Iron II
hoi2d,Hearts of Iron II Doomsday
hgl,Hellgate London
heroo,Hero Online
homm3,Heroes of Might and Magic III
homm3ab,Heroes of Might and Magic III Armageddon's Blade
homm4,Heroes of Might and Magic IV
homm5,Heroes of Might and Magic V
homm5hof,Heroes of Might and Magic V - Hammers of Fate
homm5b,Heroes of Might and Magic V Beta
homm5d,Heroes of Might and Magic V Demo
hotp,Heroes of the Pacific
hnd,Hidden & Dangerous
hnd2,Hidden & Dangerous 2
hnd2ss,Hidden & Dangerous 2 Sabre Squadron
hl2hs,Hidden: Source
htmnc47,Hitman - Codename 47
htmn2,Hitman 2 - Silent Assassin
htmnbm,Hitman Blood Money
htmncon,Hitman Contracts
hw,Homeworld
hw2,Homeworld 2
hcat,Homeworld Cataclysm
ho,Horizons Online
idale,Icewind Dale
idalehw,Icewind Dale - Heart of Winter
gunzna,ijji GunZ
il2fb,IL-2 Sturmovik - Forgotten Battles
cotn,Immortal Cities: Children of The Nile
ig,Imperial Glory
indigop,Indigo Prophecy
irnstrm,Iron Storm
jempire,Jade Empire
bondnf,James Bond 007 Nightfire
jamp,Jedi Academy Multiplayer
jasp,Jedi Academy Single Player
jk,Jedi Knight
jk2mp,Jedi Knight II Multiplayer
jk2sp,Jedi Knight II Single Player
jdaf,John Deere American Farmer
jdnaf,John Deere North American Farmer
jopse,Joint Operations: Escalation
jops,Joint Operations: Typhoon Rising
jtf,Joint Task Force
juiced,Juiced
justc,Just Cause
jxo,JX Online
kalo,Kal Online
karma,Karma Online
ks,Kill.Switch
kingpin,Kingpin Life of Crime
ko,Knight Online
kohan2,Kohan II Kings of War
hl2kc,Kreedz Climbing
kw,KumaWar
lotd,Land of the Dead
lom,Legends of Mir
lom2,Legends of Mir II
lom3,Legends of Mir III
larena,Legion Arena
legosw,Lego Star Wars
legosw2,Lego Star Wars II
lslmcl,Leisure Suit Larry - Magna Cum Laude
lrsbs,Let's Ride! - Silver Buckle Stables
lineage,Lineage
lin2,Lineage II
lfs,Live for Speed
lomac,Lock On
loco,Locomotion
rotk,LOTR Return of the King
mabi,Mabinogi
mddn2k4,Madden 2004
mddn2k5,Madden 2005
mddn2k6,Madden 2006
mddn2k7,Madden 2007
maelstrom,Maelstrom
mafia,Mafia
mka,Mage Knight Apocalypse
mtgo,Magic Online
mtcoon,Mall Tycoon
mtcoon2,Mall Tycoon 2
mtcoon3,Mall Tycoon 3
mame32,MAME32
mhnt,Manhunt
mpls,MapleStory
getup,Marc Ecko's Getting Up - Contents Under Pressure
mua,Marvel Ultimate Alliance
maxp,Max Payne
maxp2,Max Payne 2
mw3,MechWarrior 3
mw4bk,MechWarrior 4 Black Knight
mw4v,MechWarrior 4 Vengeance
mwm,MechWarrior Mercenaries
mohaa,Medal of Honor Allied Assault
mohaab,Medal of Honor Allied Assault - Breakthrough
mohaas,Medal of Honor Allied Assault - Spearhead
mohpa,Medal of Honor Pacific Assault
mohpad,Medal of Honor Pacific Assault MP Demo
mtw,Medieval - Total War
m2tw,Medieval II Total War
m2twd,Medieval II Total War Demo SE
mov,Men of Valor
movmpd,Men of Valor MP Demo
m59,Meridian 59
mgs2s,Metal Gear Solid2 Substance
fsx,Microsoft Flight Simulator X
mc2,Midnight Club 2
mmad,Midtown Madness
mmad2,Midtown Madness 2
winmine,Minesweeper
mojom,Mojo Master
mtycoon,Monopoly Tycoon
mtmad2,Monster Truck Madness 2
morwnd,Morrowind
mortyr2,Mortyr 2
mcmad2,Motocross Madness 2
mgp2,MotoGP 2
mgp3,MotoGP URT 3
mu,Mu Online
mvpb05,MVP Baseball 2005
mxvsatv,MX vs ATV Unleashed
mxvsatvd,MX vs ATV Unleashed Demo
myst,Myst
myst3,Myst III Exile
myst4,Myst IV Revelation
myst5,Myst V End of Ages
mythos,Mythos
nascar2k3,Nascar Racing 2003 Season
nascar3,Nascar Racing 3
nascar4,Nascar Racing 4
nascarsr,Nascar SimRacing
ns,Natural Selection
nf,NavyField
nbal06,NBA Live 06
nbal07,NBA Live 07
nbal2k5,NBA Live 2005
ncaacr06,NCAA Championship Run 2006
nfsc,Need for Speed Carbon
nfscd,Need for Speed Carbon Demo
nfshs,Need for Speed High Stakes
nfshp2,Need for Speed Hot Pursuit 2
nfs2se,Need for Speed II SE
nfs3,Need for Speed III
nfsmw,Need for Speed Most Wanted
nfspu,Need for Speed Porsche Unleashed
nfsu,Need For Speed Underground
nfsu2,Need for Speed Underground 2
neocr2,Neocron 2
netgmn,NetGammon
nwn,Neverwinter Nights
nwn2,Neverwinter Nights 2
nexus,Nexus - The Jupiter Incident
nflhc,NFL Head Coach
nhl06,NHL 06
nhl2k5,NHL 2005
nhl07,NHL07
nolf,No One Lives Forever
nolf2,No One Lives Forever 2
nox,Nox
nte,NTE
oblivion,Oblivion
oni3,Onimusha 3
opflsh,Operation Flashpoint
opflshr,Operation Flashpoint Resistance
hlof15,Opposing Force 1.5
hlof,Opposing Force 1.6
or06c2c,OutRun2006 Coast 2 Coast
pnklr,Painkiller
pnklrboh,Painkiller Battle out of Hell
panzerc,Panzer Command
panzers,Panzers - Phase 1
panzers2,Panzers - Phase 2
parpoker,Paradise Poker.com
paraw,Paraworld
pariah,Pariah
ppkr,PartyPoker.com
panuf,Patriots: A Nation Under Fire
perim,Perimeter
perimet,Perimeter Emperor's Testament
kkong,Peter Jackson's King Kong
psu,Phantasy Star Universe Online
pharaoh,Pharaoh
winpball,Pinball
piratesotc,Pirates of the Caribbean
pkpoker,PKR.com
poa,Plan of Attack
ps,PlanetSide
playboy,Playboy - The Mansion
proom,PokerRoom.com
pstars,PokerStars.com
postal2,Postal 2 Share the Pain
prey,Prey
preyd,Prey Demo
pop,Prince of Persia - The Sands of Time
popttt,Prince of Persia The Two Thrones
popww,Prince of Persia Warrior Within
poq,Prince of Qin Online
ptycoon,Prison Tycoon
ptycoon2,Prison Tycoon 2
pstale,Priston Tale
